chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,origin_sample,LABEL
0.37522677,0.06456339,2459.947356976523,2434.934002879862,5019.828287760417,0.12464057074652778,-349.606,69.49054,-5.0149927,9.292723,-0.6906056,-4.3551183,-16.126284,-13.29137,-5.781006,-5.69765,-5.1700435,-0.9259867,-8.939626,-0.2280751,-3.7241414,-2.7602787,-7.130298,-2.8855479,-3.816603,-4.6588283,Obama-to-Biden,FAKE
0.26587945,0.06463286,1771.2649059449093,2054.2760868700675,3259.837849934896,0.07938413266782407,-309.3573,102.684265,-0.21703981,6.763915,-8.346691,-4.1620736,-17.855639,-18.453611,-12.072625,-13.091376,-8.78386,-2.461789,-10.282154,-5.3833804,-8.223937,-6.0312066,-11.122187,-4.6671987,-3.794462,-6.1310077,Obama-to-Biden,FAKE
0.34422272,0.032006416,2756.4274531302663,2556.4837942420777,5510.107421875,0.15177860966435186,-395.46002,67.34371,1.6114697,15.029048,1.3424914,-2.9363906,-14.170964,-7.3637567,-1.3087057,-3.323372,-4.24101,-0.8316905,-4.041812,0.0014021131,-3.9743786,-1.6999041,-4.6182323,-1.4026964,-1.9300468,-2.4511764,Obama-to-Biden,FAKE
0.46723372,0.016749872,2068.743871899216,2003.275673157511,3906.0831705729165,0.11375370732060185,-368.99106,98.130714,-36.922684,-10.113725,-31.842335,-14.212305,-0.2577165,5.7835317,0.7581584,5.139499,-0.048640076,-1.2333406,-0.3179748,0.102126725,-1.7715088,-5.0136023,-5.3577127,-0.9964703,-3.404845,-3.7006514,Obama-to-Biden,FAKE
0.3691122,0.050818317,2181.070240437978,2193.115138685951,4031.2947591145835,0.11653419777199074,-348.5313,78.893265,-16.37313,-0.023122717,-5.674958,-9.057148,-10.000853,-2.3278525,-2.2177372,-3.7143066,-7.118877,-0.011987474,-5.441096,-4.4795494,-4.8610044,-2.209938,-5.779118,-1.2909365,-1.5732758,-4.030232,Obama-to-Biden,FAKE
0.33152282,0.051440686,2639.2724637862448,2559.1028161549348,5269.7031656901045,0.13798014322916666,-367.88922,66.66998,6.3342824,6.503359,-10.043195,-0.25042385,-9.404222,-7.099519,-8.911594,-10.736466,-8.907495,-0.032309216,-3.1398463,-0.121092334,-5.133077,-3.500838,-6.7782245,-1.0828084,-2.4199843,-7.9028783,Obama-to-Biden,FAKE
0.29116997,0.07653093,2241.6815664911396,2248.014634425101,4207.0994059244795,0.11332872178819445,-324.35852,79.43597,4.530031,7.684239,-5.6244936,-2.863972,-17.504982,-15.358289,-15.734761,-6.4613557,-6.4846554,-2.0325491,-7.8530354,-3.9501858,-5.034858,-2.3010914,-8.634456,-3.908806,-5.7416506,-5.6313195,Obama-to-Biden,FAKE
0.31235552,0.061325226,2441.6047349727596,2348.993923788646,4695.334879557292,0.12215169270833333,-325.78098,72.412735,2.506193,15.774213,2.955463,1.8666034,-18.901993,-18.158443,-8.0878105,-7.464253,-8.021252,-1.3650169,-10.136571,-1.7138957,-4.823062,-1.003976,-8.8519945,-5.595329,-4.137151,-4.549126,Obama-to-Biden,FAKE
0.30485216,0.047703963,2263.295545744246,2519.3871811022173,4918.3929443359375,0.0893238208912037,-391.56677,69.453995,18.995556,21.125887,-6.036156,-6.863665,-9.892083,-9.179669,-7.886819,-11.159519,-4.8212466,0.022632917,-8.919039,-2.0060623,-4.362471,-5.9491115,-8.072298,-4.195594,-6.207388,-7.249453,Obama-to-Biden,FAKE
0.2687637,0.08486021,1932.0063926093092,2068.8695266945774,3477.2135416666665,0.08888527199074074,-295.76846,90.499664,0.046101604,10.236821,-4.8672495,-8.488399,-19.137405,-15.1339655,-14.497548,-9.953864,-13.274147,-2.80012,-9.026222,-2.6450734,-7.6321716,-4.107081,-9.762432,-5.356896,-6.1258426,-7.654804,Obama-to-Biden,FAKE
